intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
4/3/13,A260760,FOSTER,OTC,4/9/13,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
4/3/13,A260762,STRAY,OTC,4/9/13,FOSTER,BORDER TERRIER,MIX,0,6,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
8/14/13,A272772,STRAY,OTC,8/20/13,ADOPTION,BORDER TERRIER,MIX,0,2,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
4/3/13,A260758,STRAY,OTC,4/8/13,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Puppy (0-4mo)
4/3/13,A260751,STRAY,OTC,4/8/13,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Puppy (0-4mo)
8/14/13,A272771,STRAY,OTC,8/19/13,ADOPTION,BORDER TERRIER,MIX,0,6,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
12/26/13,A282224,STRAY,FIELD,12/29/13,MISSING,BORDER TERRIER,MIX,4,0,Lost/Found/Missing,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adult (1-7yr)
3/23/13,A259969,EUTH REQ,OTC OWNED,3/23/13,EUTH,BORDER TERRIER,MIX,0,0,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
5/1/13,A263214,STRAY,OTC,5/1/13,EUTH,BORDER TERRIER, ,0,7,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
5/13/13,A260760,FOSTER,OTC,5/13/13,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
5/16/13,A260762,FOSTER,OTC,5/16/13,ADOPTION,BORDER TERRIER,MIX,0,6,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
5/22/13,A260758,FOSTER,OTC,5/22/13,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
5/30/13,A260751,FOSTER,OTC,5/30/13,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
8/16/13,A272952,EUTH REQ,OTC OWNED,8/16/13,EUTH,BORDER TERRIER,MIX,2,6,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
11/22/13,A280259,STRAY,OTC,11/22/13,RTO,BORDER TERRIER,BEAGLE,6,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
1/3/14,A280310,FOSTER,OTC,1/3/14,ADOPTION,BORDER TERRIER,MIX,0,3,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
1/26/14,A284141,STRAY,FIELD,1/26/14,RTO,BORDER TERRIER,MIX,2,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
10/17/13,A277701,STRAY,FIELD,11/18/13,HOME EXP,CAIRN TERRIER,MIX,0,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,32,Puppy (0-4mo)
5/3/13,A263487,STRAY,FIELD,6/3/13,LOST EXP,CAIRN TERRIER, ,0,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
4/4/13,A260873,STRAY,FIELD,5/4/13,LOST EXP,CAIRN TERRIER, ,0,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Puppy (0-4mo)
4/9/13,A261223,STRAY,FIELD,5/9/13,LOST EXP,CAIRN TERRIER, ,0,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Puppy (0-4mo)
4/17/13,A261913,STRAY,FIELD,5/17/13,LOST EXP,CAIRN TERRIER, ,16,0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Senior (8+yr)
1/26/13,A255796,STRAY,FIELD,2/16/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,21,Adult (1-7yr)
11/13/13,A279470,CONFISCATE,DANGER IN,11/30/13,RESCUE,CAIRN TERRIER,MIX,3,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,17,Adult (1-7yr)
5/21/13,A264959,STRAY,FIELD,6/6/13,ADOPTION,CAIRN TERRIER,SHIH TZU,4,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,16,Adult (1-7yr)
5/18/13,A264766,STRAY,FIELD,5/30/13,ADOPTION,CAIRN TERRIER,MIX,3,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,12,Adult (1-7yr)
10/26/13,A278357,STRAY,FIELD,11/7/13,ADOPTION,CAIRN TERRIER,MIX,0,5.5,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,12,Adolescent (5-12mo)
7/18/13,A270479,STRAY,FIELD,7/27/13,RESCUE,CAIRN TERRIER,MIX,9,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Senior (8+yr)
8/27/13,A273732,STRAY,FIELD,9/5/13,ADOPTION,CAIRN TERRIER,MIX,3,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
10/24/13,A278238,STRAY,FIELD,11/2/13,ADOPTION,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
1/16/14,A283661,STRAY,FIELD,1/24/14,ADOPTION,CAIRN TERRIER,MIX,0,11,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
3/12/13,A259039,STRAY,FIELD,3/19/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
5/16/13,A264633,STRAY,OTC,5/23/13,RESCUE,CAIRN TERRIER,MIX,2,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
6/6/13,A266544,STRAY,OTC,6/13/13,ADOPTION,CAIRN TERRIER,MIX,0,10,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
6/7/13,A266721,STRAY,FIELD,6/14/13,ADOPTION,CAIRN TERRIER, ,3,0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
