intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
2013-03-15,A259310,STRAY,OTC,2013-03-21,ADOPTION,BORDER TERRIER,MIX,0,10.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-03-15,A259311,STRAY,OTC,2013-03-21,RESCUE,BORDER TERRIER,MIX,0,10.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-04-03,A260760,FOSTER,OTC,2013-04-09,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
2013-04-03,A260762,STRAY,OTC,2013-04-09,FOSTER,BORDER TERRIER,MIX,0,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-08-14,A272772,STRAY,OTC,2013-08-20,ADOPTION,BORDER TERRIER,MIX,0,2.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
2013-04-03,A260758,STRAY,OTC,2013-04-08,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Puppy (0-4mo)
2013-04-03,A260751,STRAY,OTC,2013-04-08,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Puppy (0-4mo)
2013-08-14,A272771,STRAY,OTC,2013-08-19,ADOPTION,BORDER TERRIER,MIX,0,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,5,Adolescent (5-12mo)
2013-12-26,A282224,STRAY,FIELD,2013-12-29,MISSING,BORDER TERRIER,MIX,4,0.0,Lost/Found/Missing,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,3,Adult (1-7yr)
2013-03-23,A259969,EUTH REQ,OTC OWNED,2013-03-23,EUTH,BORDER TERRIER,MIX,0,0.0,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-05-01,A263214,STRAY,OTC,2013-05-01,EUTH,BORDER TERRIER,unknown,0,7.0,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
2013-05-13,A260760,FOSTER,OTC,2013-05-13,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-05-16,A260762,FOSTER,OTC,2013-05-16,ADOPTION,BORDER TERRIER,MIX,0,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adolescent (5-12mo)
2013-05-22,A260758,FOSTER,OTC,2013-05-22,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-05-30,A260751,FOSTER,OTC,2013-05-30,ADOPTION,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2013-08-16,A272952,EUTH REQ,OTC OWNED,2013-08-16,EUTH,BORDER TERRIER,MIX,2,6.0,Euthanized/Dead,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2013-11-22,A280259,STRAY,OTC,2013-11-22,RTO,BORDER TERRIER,BEAGLE,6,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2014-01-03,A280310,FOSTER,OTC,2014-01-03,ADOPTION,BORDER TERRIER,MIX,0,3.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Puppy (0-4mo)
2014-01-26,A284141,STRAY,FIELD,2014-01-26,RTO,BORDER TERRIER,MIX,2,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,0,Adult (1-7yr)
2013-10-17,A277701,STRAY,FIELD,2013-11-18,HOME EXP,CAIRN TERRIER,MIX,0,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,32,Puppy (0-4mo)
2013-05-03,A263487,STRAY,FIELD,2013-06-03,LOST EXP,CAIRN TERRIER,unknown,0,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
2013-04-04,A260873,STRAY,FIELD,2013-05-04,LOST EXP,CAIRN TERRIER,unknown,0,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Puppy (0-4mo)
2013-04-09,A261223,STRAY,FIELD,2013-05-09,LOST EXP,CAIRN TERRIER,unknown,0,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Puppy (0-4mo)
2013-04-17,A261913,STRAY,FIELD,2013-05-17,LOST EXP,CAIRN TERRIER,unknown,16,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,30,Senior (8+yr)
2013-01-26,A255796,STRAY,FIELD,2013-02-16,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,21,Adult (1-7yr)
2013-11-13,A279470,CONFISCATE,DANGER IN,2013-11-30,RESCUE,CAIRN TERRIER,MIX,3,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,17,Adult (1-7yr)
2013-05-21,A264959,STRAY,FIELD,2013-06-06,ADOPTION,CAIRN TERRIER,SHIH TZU,4,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,16,Adult (1-7yr)
2013-05-18,A264766,STRAY,FIELD,2013-05-30,ADOPTION,CAIRN TERRIER,MIX,3,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,12,Adult (1-7yr)
2013-10-26,A278357,STRAY,FIELD,2013-11-07,ADOPTION,CAIRN TERRIER,MIX,0,5.5,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,12,Adolescent (5-12mo)
2013-07-18,A270479,STRAY,FIELD,2013-07-27,RESCUE,CAIRN TERRIER,MIX,9,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Senior (8+yr)
2013-08-27,A273732,STRAY,FIELD,2013-09-05,ADOPTION,CAIRN TERRIER,MIX,3,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2013-10-24,A278238,STRAY,FIELD,2013-11-02,ADOPTION,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2014-01-16,A283661,STRAY,FIELD,2014-01-24,ADOPTION,CAIRN TERRIER,MIX,0,11.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
2013-03-12,A259039,STRAY,FIELD,2013-03-19,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-05-16,A264633,STRAY,OTC,2013-05-23,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-06-06,A266544,STRAY,OTC,2013-06-13,ADOPTION,CAIRN TERRIER,MIX,0,10.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
2013-06-07,A266721,STRAY,FIELD,2013-06-14,ADOPTION,CAIRN TERRIER,unknown,3,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-07-03,A269234,OWNER SURR,OTC,2013-07-10,ADOPTION,CAIRN TERRIER,DACHSHUND MIN,5,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-10-01,A276384,STRAY,OTC,2013-10-08,ADOPTION,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-10-16,A277624,STRAY,FIELD,2013-10-23,ADOPTION,CAIRN TERRIER,MIX,4,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-12-26,A282241,STRAY,FIELD,2014-01-02,LOST EXP,CAIRN TERRIER,MIX,0,0.0,Lost/Found/Missing,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
2013-02-06,A256600,STRAY,FIELD,2013-02-12,RESCUE,CAIRN TERRIER,MIX,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2013-02-19,A257465,STRAY,FIELD,2013-02-25,ADOPTION,CAIRN TERRIER,unknown,2,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
2013-07-19,A270616,STRAY,OTC,2013-07-25,ADOPTION,CAIRN TERRIER,MIX,5,0.0,Adopt/Live Exit,Cairn Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adult (1-7yr)
