intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,18,Adult (1-7yr),1.259921049894873
RETURN,OTC,unknown,Russell Terrier (Jack Russell),Other Terriers,With Breed,2,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,PIT BULL,Labrador Retreiver,Sporting,With Breed,12,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,MIX,Cairn Terrier,Other Terriers,With Breed,7,Adult (1-7yr),1.259921049894873
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,German Shepherd Dog,Herding,Without Breed,28,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,Rottweiler,Working,With Breed,15,Adolescent (5-12mo),0.7937005259840997
OWNER SURR,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,10,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,0,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,6,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,MIX,Miniature Schnauzer,Other Terriers,With Breed,6,Adolescent (5-12mo),0.7368062997280774
OWNER SURR,OTC,unknown,Chihuahua,Toy,Without Breed,11,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,Bulldog,Non-sporting,With Breed,1,Adult (1-7yr),1.1447142425533319
STRAY,FIELD,unknown,Poodle,Non-sporting,With Breed,9,Senior (8+yr),1.9309787692112597
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adult (1-7yr),1.259921049894873
EUTH REQ,OTC OWNED,unknown,Whippet,Hound,Without Breed,0,Senior (8+yr),2.154434690031884
EUTH REQ,OTC OWNED,unknown,Rottweiler,Working,With Breed,0,Senior (8+yr),2.040827550958674
CONFISCATE,POLICE,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,13,Adolescent (5-12mo),0.7937005259840997
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,9,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,POODLE MIN,Cocker Spaniel,Sporting,With Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,18,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,28,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,8,Adolescent (5-12mo),0.8434326653017492
STRAY,FIELD,unknown,Border Collie,Herding,Without Breed,0,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,MIN PINSCHER,Chihuahua,Toy,With Breed,0,Adult (1-7yr),1.4422495703074083
STRAY,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,1,Adult (1-7yr),1.709975946676697
RETURN,OTC,PIT BULL,Labrador Retreiver,Sporting,Without Breed,1,Adult (1-7yr),1.259921049894873
STRAY,OTC,LABRADOR RETR,Basenji,Hound,Without Breed,0,Adolescent (5-12mo),0.928317766722556
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Russell Terrier (Jack Russell),Other Terriers,Without Breed,28,Puppy (0-4mo),0.0
OWNER SURR,OTC,MIX,Otterhound,Hound,Without Breed,10,Adult (1-7yr),1.709975946676697
EUTH REQ,OTC OWNED,unknown,Labrador Retreiver,Sporting,Without Breed,0,Senior (8+yr),2.519842099789746
DISPO REQ,OTC,unknown,Rottweiler,Working,Without Breed,0,Senior (8+yr),2.4101422641752297
STRAY,OTC,MIX,Pembroke Welsh Corgi,Herding,Without Breed,9,Senior (8+yr),2.080083823051904
CONFISCATE,POLICE,unknown,Chihuahua,Toy,With Breed,1,Adult (1-7yr),1.4422495703074083
STRAY,OTC,PUG,Chihuahua,Toy,With Breed,5,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,unknown,Rottweiler,Working,With Breed,9,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Cairn Terrier,Other Terriers,Without Breed,5,Adult (1-7yr),1.4422495703074083
EUTH REQ,OTC OWNED,unknown,Rhodesian Ridgeback,Hound,With Breed,0,Senior (8+yr),2.3513346877207573
STRAY,FIELD,unknown,Shiba Inu,Non-sporting,With Breed,31,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,German Shepherd Dog,Herding,Without Breed,4,Adolescent (5-12mo),0.928317766722556
OWNER SURR,OTC,unknown,Shih Tzu,Toy,Without Breed,7,Senior (8+yr),2.2239800905693157
RETURN,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,1,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,Australian Shepherd,Herding,With Breed,30,Puppy (0-4mo),0.0
CONFISCATE,DANGER IN,MIX,Labrador Retreiver,Sporting,With Breed,14,Puppy (0-4mo),0.0
OWNER SURR,OTC,CHIHUAHUA SH,Maltese,Toy,With Breed,3,Adolescent (5-12mo),0.8434326653017492
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,Without Breed,30,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,MIX,Border Terrier,Other Terriers,Without Breed,0,Adolescent (5-12mo),0.7368062997280774
CONFISCATE,BITE,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,14,Adult (1-7yr),1.709975946676697
CONFISCATE,POLICE,LABRADOR RETR,American Staffordshire Terrier,Pit Bull Types,With Breed,33,Adolescent (5-12mo),0.928317766722556
STRAY,FIELD,unknown,Soft Coated Wheaten Terrier,Other Terriers,Without Breed,5,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Brussels Griffon,Toy,With Breed,6,Adult (1-7yr),1.1447142425533319
OWNER SURR,OTC,SHIH TZU,Pomeranian,Toy,Without Breed,3,Puppy (0-4mo),0.6694329500821695
STRAY,OTC,unknown,Cairn Terrier,Other Terriers,With Breed,0,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,JACK RUSS TER,Australian Shepherd,Herding,Without Breed,0,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,MIX,Shih Tzu,Toy,Without Breed,0,Senior (8+yr),2.2894284851066637
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,0,Adult (1-7yr),1.5874010519681994
CONFISCATE,POLICE,unknown,German Shepherd Dog,Herding,With Breed,3,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,MIX,Chihuahua,Toy,With Breed,6,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,4,Adolescent (5-12mo),0.928317766722556
OWNER SURR,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,5,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,2,Adult (1-7yr),1.1447142425533319
STRAY,OTC,unknown,Shih Tzu,Toy,Without Breed,0,Senior (8+yr),2.154434690031884
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,7,Adult (1-7yr),1.4422495703074083
STRAY,OTC,BOSTON TERRIE,Pug,Toy,Without Breed,8,Adult (1-7yr),1.8171205928321394
CONFISCATE,BITE,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,24,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,1,Adult (1-7yr),1.5874010519681994
CONFISCATE,CRUELTY,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,87,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Lhasa Apso,Non-sporting,With Breed,31,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Chihuahua,Toy,With Breed,8,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,5,Adult (1-7yr),1.259921049894873
DISPO REQ,OTC OWNED,unknown,Shiba Inu,Non-sporting,Without Breed,0,Puppy (0-4mo),0.6694329500821695
STRAY,OTC,MIX,Poodle,Non-sporting,Without Breed,8,Adult (1-7yr),1.9129311827723892
OWNER SURR,OTC,unknown,Miniature Schnauzer,Other Terriers,Without Breed,4,Senior (8+yr),2.0
STRAY,FIELD,unknown,Pomeranian,Toy,Without Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,6,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Poodle,Non-sporting,With Breed,18,Adult (1-7yr),1.9129311827723892
OWNER SURR,OTC,MIX,Scottish Terrier,Other Terriers,Without Breed,6,Senior (8+yr),2.4101422641752297
STRAY,FIELD,MIX,Chihuahua,Toy,With Breed,0,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Russell Terrier (Jack Russell),Other Terriers,Without Breed,3,Adult (1-7yr),1.866255578408624
OWNER SURR,OTC,MIX,Catahoula Leopard Dog,Hound,Without Breed,1,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,LABRADOR RETR,American Staffordshire Terrier,Pit Bull Types,Without Breed,18,Adolescent (5-12mo),1.0
RETURN,OTC,unknown,Poodle,Non-sporting,Without Breed,0,Senior (8+yr),2.080083823051904
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,3,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,MIX,Great Dane,Working,With Breed,22,Adult (1-7yr),1.1934831919273368
STRAY,OTC,MIX,German Shepherd Dog,Herding,With Breed,14,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Boxer,Working,With Breed,1,Senior (8+yr),2.154434690031884
STRAY,OTC,unknown,Lhasa Apso,Non-sporting,With Breed,8,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,2,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,MIX,Chihuahua,Toy,Without Breed,0,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,Labrador Retreiver,Sporting,Without Breed,4,Adolescent (5-12mo),0.928317766722556
EUTH REQ,OTC OWNED,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adult (1-7yr),1.1696070952851465
STRAY,FIELD,unknown,Beagle,Hound,With Breed,31,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,1,Adult (1-7yr),1.3572088082974534
RETURN,OTC,unknown,Shih Tzu,Toy,Without Breed,2,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,4,Adult (1-7yr),1.259921049894873
STRAY,OTC,MIX,Golden Retriever,Sporting,Without Breed,0,Senior (8+yr),2.4101422641752297
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,31,Adult (1-7yr),1.259921049894873
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,13,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,unknown,German Shepherd Dog,Herding,Without Breed,5,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,MIX,German Shepherd Dog,Herding,With Breed,5,Puppy (0-4mo),0.5848035476425733
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Miniature Pinscher,Toy,With Breed,10,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Shih Tzu,Toy,Without Breed,0,Adult (1-7yr),1.5874010519681994
EUTH REQ,OTC OWNED,unknown,Cocker Spaniel,Sporting,Without Breed,0,Senior (8+yr),2.4101422641752297
STRAY,OTC,LABRADOR RETR,Doberman Pinscher,Working,Without Breed,4,Adolescent (5-12mo),0.9654893846056298
CONFISCATE,POLICE,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,8,Adult (1-7yr),1.8171205928321394
EUTH REQ,OTC OWNED,MIX,Pomeranian,Toy,Without Breed,0,Senior (8+yr),2.519842099789746
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,11,Adolescent (5-12mo),1.0
EUTH REQ,OTC OWNED,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adolescent (5-12mo),0.7368062997280774
CONFISCATE,CRUELTY,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,8,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,unknown,Chihuahua,Toy,Without Breed,5,Adult (1-7yr),1.4422495703074083
EUTH REQ,OTC OWNED,unknown,Chihuahua,Toy,Without Breed,0,Senior (8+yr),2.7144176165949068
STRAY,OTC,MIX,Russell Terrier (Jack Russell),Other Terriers,With Breed,8,Adult (1-7yr),1.709975946676697
OWNED,unknown,unknown,Cocker Spaniel,Sporting,With Breed,3,Senior (8+yr),2.0
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,With Breed,10,Adult (1-7yr),1.5874010519681994
STRAY,OTC,BEAGLE,American Staffordshire Terrier,Pit Bull Types,With Breed,6,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,Vizsla,Sporting,Without Breed,7,Adult (1-7yr),1.5874010519681994
STRAY,OTC,CHINESE SHARP,Labrador Retreiver,Sporting,With Breed,13,Adult (1-7yr),1.709975946676697
DISPO REQ,OTC,unknown,Doberman Pinscher,Working,With Breed,0,Senior (8+yr),2.0
STRAY,FIELD,MIX,Shih Tzu,Toy,Without Breed,0,Adult (1-7yr),1.259921049894873
EUTH REQ,OTC OWNED,MIX,Rottweiler,Working,With Breed,0,Senior (8+yr),2.3513346877207573
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,With Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Rat Terrier,Other Terriers,With Breed,28,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Dachshund,Hound,Without Breed,7,Adolescent (5-12mo),1.0
OWNER SURR,OTC,unknown,Beagle,Hound,With Breed,2,Adult (1-7yr),1.5874010519681994
OWNER SURR,OTC,unknown,Labrador Retreiver,Sporting,With Breed,0,Senior (8+yr),2.2239800905693157
STRAY,FIELD,DACHSHUND MIN,Miniature Pinscher,Toy,Without Breed,28,Puppy (0-4mo),0.0
OWNER SURR,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,2,Adult (1-7yr),1.0322801154563672
STRAY,OTC,MIX,Greyhound,Hound,With Breed,1,Adult (1-7yr),1.1447142425533319
RETURN,OTC,BULLDOG,Chinese Shar-Pei,Non-sporting,Without Breed,1,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Poodle,Non-sporting,With Breed,1,Senior (8+yr),2.080083823051904
CONFISCATE,POLICE,GERM SHEPHERD,Labrador Retreiver,Sporting,With Breed,15,Adolescent (5-12mo),0.7937005259840997
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,10,Adolescent (5-12mo),0.7368062997280774
OWNER SURR,OTC,unknown,Chihuahua,Toy,Without Breed,1,Adolescent (5-12mo),0.7368062997280774
EUTH REQ,OTC OWNED,RHOD RIDGEBAC,American Staffordshire Terrier,Pit Bull Types,With Breed,0,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Chihuahua,Toy,Without Breed,5,Adult (1-7yr),1.259921049894873
STRAY,FIELD,MIX,German Shepherd Dog,Herding,With Breed,7,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,10,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,POODLE MIN,Maltese,Toy,Without Breed,1,Adult (1-7yr),1.5182944859378313
STRAY,FIELD,unknown,Doberman Pinscher,Working,With Breed,1,Adolescent (5-12mo),0.7368062997280774
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,Akita,Working,With Breed,28,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Miniature Schnauzer,Other Terriers,With Breed,1,Adult (1-7yr),1.091392883061106
STRAY,OTC,BOXER,Pointer,Sporting,With Breed,5,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Miniature Pinscher,Toy,Without Breed,28,Puppy (0-4mo),0.0
CONFISCATE,EVICTION,MIX,Mastiff,Working,Without Breed,14,Adult (1-7yr),1.1696070952851465
DISPO REQ,OTC OWNED,unknown,Boxer,Working,With Breed,0,Senior (8+yr),2.0
OWNER SURR,OTC,unknown,Cocker Spaniel,Sporting,With Breed,1,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,Cocker Spaniel,Sporting,With Breed,30,Puppy (0-4mo),0.0
OWNER SURR,FIELD,MIX,Chow Chow,Non-sporting,With Breed,2,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Cairn Terrier,Other Terriers,Without Breed,7,Adolescent (5-12mo),0.8879040017426006
STRAY,OTC,AUST CATTLE D,Labrador Retreiver,Sporting,With Breed,2,Senior (8+yr),2.2894284851066637
STRAY,FIELD,MIX,Beagle,Hound,Without Breed,0,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,0,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Rhodesian Ridgeback,Hound,With Breed,29,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,31,Adolescent (5-12mo),0.8879040017426006
FOSTER,OTC,unknown,Boston Terrier,Non-sporting,Without Breed,0,Adult (1-7yr),1.4422495703074083
CONFISCATE,CRUELTY,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,3,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,CATAHOULA,Pointer,Sporting,With Breed,16,Adult (1-7yr),1.1934831919273368
STRAY,OTC,unknown,Bulldog,Non-sporting,With Breed,9,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,Siberian Husky,Working,With Breed,4,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,11,Adolescent (5-12mo),1.0
STRAY,PAVILLION,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,9,Adult (1-7yr),1.0322801154563672
STRAY,OTC,MIX,Dachshund,Hound,With Breed,5,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,Mastiff,Working,Without Breed,1,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,8,Puppy (0-4mo),0.6694329500821695
STRAY,OTC,unknown,Bulldog,Non-sporting,With Breed,9,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,With Breed,7,Adolescent (5-12mo),0.8879040017426006
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,21,Adolescent (5-12mo),1.0
STRAY,FIELD,MASTIFF,Labrador Retreiver,Sporting,Without Breed,7,Adult (1-7yr),1.4422495703074083
OWNER SURR,OTC,unknown,Labrador Retreiver,Sporting,Without Breed,2,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,MIX,Akita,Working,Without Breed,19,Adult (1-7yr),1.9129311827723892
STRAY,OTC,unknown,Chihuahua,Toy,Without Breed,6,Adolescent (5-12mo),1.0
RETURN,OTC,MIX,Russell Terrier (Jack Russell),Other Terriers,With Breed,0,Puppy (0-4mo),0.6694329500821695
STRAY,OTC,unknown,Russell Terrier (Jack Russell),Other Terriers,With Breed,18,Adult (1-7yr),1.21644039911468
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,0,Adolescent (5-12mo),0.7368062997280774
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,10,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,17,Adolescent (5-12mo),1.0
EUTH REQ,OTC OWNED,MIX,Labrador Retreiver,Sporting,With Breed,0,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Italian Greyhound,Toy,Without Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,Australian Shepherd,Herding,Without Breed,30,Puppy (0-4mo),0.0
CONFISCATE,POLICE,unknown,Poodle,Non-sporting,With Breed,2,Adult (1-7yr),1.9129311827723892
CONFISCATE,DANGER IN,unknown,German Shepherd Dog,Herding,Without Breed,20,Adult (1-7yr),1.4422495703074083
CONFISCATE,BITE,unknown,Russell Terrier (Jack Russell),Other Terriers,With Breed,31,Adult (1-7yr),1.5182944859378313
STRAY,FIELD,unknown,Scottish Terrier,Other Terriers,Without Breed,28,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Chihuahua,Toy,Without Breed,1,Senior (8+yr),2.4662120743304703
FOSTER,OTC,MIX,Rhodesian Ridgeback,Hound,Without Breed,0,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,0,Adult (1-7yr),1.1447142425533319
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,Without Breed,2,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,14,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,30,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,Golden Retriever,Sporting,Without Breed,6,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,Dachshund,Hound,With Breed,7,Adult (1-7yr),1.709975946676697
EUTH REQ,OTC OWNED,unknown,Maltese,Toy,With Breed,0,Senior (8+yr),2.4101422641752297
OWNER SURR,OTC,unknown,Chihuahua,Toy,With Breed,7,Adolescent (5-12mo),0.8434326653017492
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,2,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,14,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,13,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,2,Senior (8+yr),2.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,30,Puppy (0-4mo),0.0
STRAY,FIELD,ROTTWEILER,Labrador Retreiver,Sporting,With Breed,0,Adult (1-7yr),1.709975946676697
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,21,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,unknown,Boxer,Working,With Breed,31,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Beagle,Hound,With Breed,7,Adult (1-7yr),1.9129311827723892
EUTH REQ,OTC OWNED,MIX,Labrador Retreiver,Sporting,Without Breed,0,Senior (8+yr),2.4662120743304703
STRAY,FIELD,unknown,Poodle,Non-sporting,With Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,PIT BULL,Rhodesian Ridgeback,Hound,With Breed,8,Adult (1-7yr),1.9129311827723892
OWNER SURR,OTC,POODLE MIN,Yorkshire Terrier,Toy,Without Breed,2,Adult (1-7yr),1.1447142425533319
CONFISCATE,BITE,MIX,German Shepherd Dog,Herding,With Breed,52,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,Cairn Terrier,Other Terriers,With Breed,9,Senior (8+yr),2.080083823051904
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,8,Adult (1-7yr),1.1447142425533319
OWNER SURR,FIELD,BOXER,American Staffordshire Terrier,Pit Bull Types,With Breed,13,Adult (1-7yr),1.062658569182611
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,21,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Chihuahua,Toy,Without Breed,28,Puppy (0-4mo),0.0
STRAY,OTC,PIT BULL,Labrador Retreiver,Sporting,With Breed,3,Puppy (0-4mo),0.464158883361278
STRAY,OTC,MIX,Russell Terrier (Jack Russell),Other Terriers,Without Breed,15,Adult (1-7yr),1.5874010519681994
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,18,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Chow Chow,Non-sporting,With Breed,18,Senior (8+yr),2.2894284851066637
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,8,Adolescent (5-12mo),0.7368062997280774
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,14,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,Chihuahua,Toy,With Breed,5,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,17,Adolescent (5-12mo),1.0
OWNER SURR,OTC,MIX,Australian Shepherd,Herding,Without Breed,5,Puppy (0-4mo),0.6694329500821695
STRAY,FIELD,unknown,Doberman Pinscher,Working,With Breed,30,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Miniature Pinscher,Toy,With Breed,18,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,AUST SHEPHERD,Miniature Pinscher,Toy,With Breed,3,Adult (1-7yr),1.5874010519681994
EUTH REQ,OTC OWNED,LABRADOR RETR,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,MIX,German Shepherd Dog,Herding,With Breed,5,Puppy (0-4mo),0.5848035476425733
OWNER SURR,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,4,Adolescent (5-12mo),0.7937005259840997
STRAY,OTC,unknown,Lhasa Apso,Non-sporting,With Breed,11,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,Without Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adult (1-7yr),1.062658569182611
STRAY,OTC,MIX,Catahoula Leopard Dog,Hound,With Breed,9,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,MIX,Poodle (Toy),Toy,With Breed,10,Puppy (0-4mo),0.0
OWNER SURR,OTC,JACK RUSS TER,Cairn Terrier,Other Terriers,Without Breed,11,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,Without Breed,31,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Pug,Toy,With Breed,5,Adult (1-7yr),1.709975946676697
STRAY,FIELD,MIX,Chihuahua,Toy,With Breed,7,Adult (1-7yr),1.259921049894873
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,21,Adult (1-7yr),1.259921049894873
RETURN,OTC,unknown,Maltese,Toy,Without Breed,1,Adult (1-7yr),1.9129311827723892
OWNER SURR,FIELD,unknown,Labrador Retreiver,Sporting,With Breed,1,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,15,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,Siberian Husky,Working,Without Breed,1,Adult (1-7yr),1.5874010519681994
