intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,Without Breed,3,Adult (1-7yr),1.5036945962049748
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,7,Adolescent (5-12mo),1.0
OWNER SURR,FIELD,GERM SHEPHERD,Rottweiler,Working,Without Breed,8,Adult (1-7yr),1.5874010519681994
STRAY,OTC,MIX,Beagle,Hound,With Breed,7,Adult (1-7yr),1.1447142425533319
STRAY,OTC,MIX,Basenji,Hound,With Breed,16,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Dachshund,Hound,Without Breed,7,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,Yorkshire Terrier,Toy,With Breed,28,Puppy (0-4mo),0.0
STRAY,FIELD,MIX,Beagle,Hound,Without Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,Boston Terrier,Non-sporting,Without Breed,30,Puppy (0-4mo),0.0
OWNER SURR,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Puppy (0-4mo),0.5848035476425733
EUTH REQ,OTC OWNED,MIX,Pekingese,Toy,With Breed,0,Senior (8+yr),2.154434690031884
STRAY,FIELD,unknown,Labrador Retreiver,Sporting,With Breed,30,Puppy (0-4mo),0.0
RETURN,OTC,BASSET HOUND,Russell Terrier (Jack Russell),Other Terriers,With Breed,1,Adult (1-7yr),1.259921049894873
STRAY,FIELD,CHIHUAHUA SH,American Staffordshire Terrier,Pit Bull Types,With Breed,13,Adolescent (5-12mo),0.7368062997280774
STRAY,FIELD,PIT BULL,Labrador Retreiver,Sporting,With Breed,6,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Chihuahua,Toy,Without Breed,30,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,unknown,Dachshund,Hound,With Breed,0,Adult (1-7yr),1.9129311827723892
STRAY,OTC,MIX,Beagle,Hound,Without Breed,8,Adult (1-7yr),1.5182944859378313
OWNER SURR,OTC,GERM SHEPHERD,Chow Chow,Non-sporting,With Breed,6,Adult (1-7yr),1.4422495703074083
EUTH REQ,FIELD OWN,unknown,Miniature Pinscher,Toy,Without Breed,0,Senior (8+yr),2.4101422641752297
STRAY,OTC,BOXER,Labrador Retreiver,Sporting,Without Breed,5,Puppy (0-4mo),0.0
EUTH REQ,OTC OWNED,unknown,German Shepherd Dog,Herding,With Breed,0,Senior (8+yr),2.4101422641752297
OWNER SURR,OTC,unknown,Japanese Chin,Toy,With Breed,7,Adolescent (5-12mo),0.7368062997280774
STRAY,FIELD,unknown,Shih Tzu,Toy,Without Breed,30,Puppy (0-4mo),0.0
OWNER SURR,FIELD,MIX,Yorkshire Terrier,Toy,Without Breed,8,Adolescent (5-12mo),1.0
STRAY,OTC,CHIHUAHUA SH,Russell Terrier (Jack Russell),Other Terriers,Without Breed,7,Adolescent (5-12mo),1.0
STRAY,OTC,MIX,German Shepherd Dog,Herding,Without Breed,7,Adolescent (5-12mo),0.928317766722556
EUTH REQ,OTC OWNED,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,0,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,16,Adolescent (5-12mo),0.7937005259840997
STRAY,FIELD,unknown,Boxer,Working,Without Breed,3,Senior (8+yr),2.2239800905693157
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,7,Adult (1-7yr),1.259921049894873
OWNER SURR,FIELD,MIX,Lakeland Terrier,Other Terriers,With Breed,4,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,unknown,Chinese Crested,Toy,Without Breed,7,Senior (8+yr),2.3513346877207573
OWNER SURR,FIELD,unknown,Chihuahua,Toy,Without Breed,1,Adult (1-7yr),1.259921049894873
STRAY,OTC,BEAGLE,Pug,Toy,With Breed,2,Adult (1-7yr),1.4422495703074083
EUTH REQ,OTC OWNED,unknown,Dachshund,Hound,With Breed,0,Senior (8+yr),2.4662120743304703
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,10,Adult (1-7yr),1.4422495703074083
EUTH REQ,OTC OWNED,unknown,Cavalier King Charles Spaniel,Toy,Without Breed,0,Adult (1-7yr),1.9129311827723892
STRAY,FIELD,BASSET HOUND,Scottish Terrier,Other Terriers,With Breed,7,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Siberian Husky,Working,Without Breed,7,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Senior (8+yr),2.0
STRAY,FIELD,MIX,Chihuahua,Toy,Without Breed,11,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,MIX,German Shepherd Dog,Herding,Without Breed,6,Adolescent (5-12mo),0.9654893846056298
STRAY,OTC,PUG,Russell Terrier (Jack Russell),Other Terriers,Without Breed,6,Adult (1-7yr),1.5874010519681994
OWNER SURR,OTC,MIX,Papillon,Toy,With Breed,8,Adult (1-7yr),1.5874010519681994
STRAY,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,5,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,unknown,West Highland White Terrier (Westie),Other Terriers,Without Breed,6,Adolescent (5-12mo),1.0
FOSTER,OTC,MIX,Boxer,Working,Without Breed,0,Adolescent (5-12mo),1.0
OWNER SURR,OTC,MIX,Labrador Retreiver,Sporting,With Breed,0,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,Boxer,Working,With Breed,30,Puppy (0-4mo),0.6694329500821695
